Scrip Code,COMPANY,ISIN No.,Close Price
532483,CANARA BANK,INE476A01022,112.15
533267,CANTABIL RETAIL INDIA LTD.,INE068L01024,260.25
540710,Capacit'e Infraprojects Limite,INE264T01014,383.8
524742,CAPLIN POINT LABORATORIES LTD.,INE475E01026,1745.15
531595,CAPRI GLOBAL CAPITAL LIMITED,INE180C01042,214.85
513375,CARBORUNDUM UNIVERSAL LTD.,INE120A01034,1571.05
534804,CARE Ratings Limited,INE752H01013,997.05
543333,CarTrade Tech Limited,INE290S01011,897.95
524091,CARYSIL LIMITED,INE482D01024,893.4
500870,CASTROL INDIA LTD.,INE172A01027,266.2
519600,CCL PRODUCTS (INDIA) LTD.,INE421D01022,710.45
500878,CEAT LTD.,INE482A01020,2846.95
544012,Cello World Limited,INE0LMW01024,911.35
532885,CENTRAL BANK OF INDIA,INE483A01010,60.22
501150,CENTRUM CAPITAL LTD.,INE660C01027,37.61
517544,CENTUM ELECTRONICS LTD.,INE320B01020,1561.8
500280,CENTURY ENKA LTD.,INE485A01015,778.35
532548,CENTURY PLYBOARDS (I) LTD.,INE348B01021,756.55
500040,CENTURY TEXTILES & INDUSTRIES,INE055A01016,2349.3
532443,CERA SANITARYWARE LTD.,INE739E01017,9736
500084,CESC LTD.,INE486A01021,190.1
500093,CG Power and Industrial Soluti,INE067A01029,749.95
542399,Chalet Hotels Limited,INE427F01016,794.6
530307,CHAMAN LAL SETIA EXPORTS LTD.,INE419D01026,244.95
500085,CHAMBAL FERTILISERS & CHEMICAL,INE085A01013,509.3
543233,Chemcon Speciality Chemicals L,INE03YM01018,269.65
543336,Chemplast Sanmar Limited,INE488A01050,493.4
500110,CHENNAI PETROLEUM CORPORATION,INE178A01016,1016.8
526817,CHEVIOT CO.LTD.,INE974B01016,1481.45
531358,CHOICE INTERNATIONAL LTD.,INE102B01014,431.1
504973,CHOLAMANDALAM FINANCIAL HOLDIN,INE149A01033,1697.15
511243,CHOLAMANDALAM INVESTMENT AND F,INE121A01024,1349.6
532756,CIE Automotive India Limited,INE536H01010,572.15
534758,CIGNITI TECHNOLOGIES LTD.,INE675C01017,1368.45
500087,CIPLA LTD.,INE059A01026,1575
532210,CITY UNION BANK LTD.,INE491A01021,166.2
543318,Clean Science and Technology L,INE227W01023,1548.5
543441,CMS Info Systems Limited,INE925R01014,565.3
533278,COAL INDIA LTD.,INE522F01014,538.6
540678,Cochin Shipyard Limited,INE704P01025,2085.3
539436,Coffee Day Enterprises Limited,INE335K01011,40.19
532541,COFORGE LIMITED,INE591G01017,6023.2
500830,COLGATE-PALMOLIVE (INDIA) LTD.,INE259A01022,3530.9
543232,Computer Age Management Servic,INE596I01012,4447.2
543960,Concord Biotech Limited,INE338H01029,1643.1
526829,CONFIDENCE PETROLEUM INDIA LTD,INE552D01024,86.94
531344,CONTAINER CORPORATION OF INDIA,INE111A01025,989.8
522295,CONTROL PRINT LTD.,INE663B01015,782.6
506395,COROMANDEL INTERNATIONAL LTD.,INE169A01031,1750.15
508814,Cosmo First Limited,INE757A01017,953.75
543276,Craftsman Automation Limited,INE00LO01017,5900.75
541770,CreditAccess Grameen Ltd.,INE741K01010,1203.65
544058,Credo Brands Marketing Limited,INE220Q01020,208.35
512379,CRESSANDA SOLUTIONS LTD.,INE716D01033,11.6
500092,CRISIL LTD.,INE007A01025,4544.5
539876,Crompton Greaves Consumer Elec,INE299U01018,459.7
542867,CSB Bank Limited,INE679A01013,332.3
500480,CUMMINS INDIA LTD.,INE298A01020,3821
543933,Cyient DLM Limited,INE055S01018,800.8
532175,CYIENT LIMITED,INE136B01020,1957.6
533151,D B CORP LTD,INE950I01011,340
533146,D-LINK (INDIA) LTD,INE250K01012,601.4
500096,DABUR INDIA LTD.,INE016A01026,643.35
542216,DALMIA BHARAT LIMITED,INE00R701025,1801.5
500097,DALMIA BHARAT SUGAR AND INDUST,INE495A01022,425.6
543428,Data Patterns (India) Limited,INE0IX101010,2882.05
532528,DATAMATICS GLOBAL SERVICES LTD,INE365B01017,557.1
532772,DCB BANK LIMITED,INE503A01015,123.55
523369,DCM SHRIRAM INDUSTRIES LTD.,INE843D01027,201.1
523367,DCM SHRIRAM LIMITED,INE499A01024,1177.6
500117,DCW LTD.,INE500A01029,82.07
543650,DCX Systems Limited,INE0KL801015,340.95
543547,DDEV PLASTIKS INDUSTRIES LIMIT,INE0HR601026,348.5
502137,DECCAN CEMENTS LTD.,INE583C01021,647
543288,Deep Industries Limited,INE0FHS01024,367.05
500645,DEEPAK FERTILISERS & PETROCHEM,INE501A01019,1068.8
506401,DEEPAK NITRITE LTD.,INE288B01029,2819.6
543529,Delhivery Limited,INE148O01028,428
532848,DELTA CORP LTD.,INE124G01033,129.05
533137,DEN NETWORKS LTD,INE947J01015,52.91
543330,Devyani International Limited,INE872J01023,184.75
543593,Dhampur Bio Organics Limited,INE0I3401014,133.5
500119,DHAMPUR SUGAR MILLS LTD.,INE041A01016,205.15
532960,Dhani Services Limited,INE274G01010,56.58
507717,DHANUKA AGRITECH LTD.,INE435G01025,1794.85
543687,Dharmaj Crop Guard Limited,INE00OQ01016,363.5
523736,Dhunseri Ventures Limited,INE477B01010,456.1
540047,Dilip Buildcon Limited,INE917M01012,537.85
532839,DISH TV INDIA LTD.,INE836F01026,15.11
540701,Dishman Carbogen Amcis Limited,INE385W01011,191.5
543812,DIVGI TORQTRANSFER SYSTEMS LIM,INE753U01022,624.65
532488,DIVIS LABORATORIES LTD.,INE361B01024,4855.95
540699,Dixon Technologies (India) Lim,INE935N01020,13264
532868,DLF LTD.,INE271C01023,849.5
506405,DMCC SPECIALITY CHEMICALS LIMI,INE505A01010,274.7
543306,Dodla Dairy Limited,INE021O01019,1214.3
505526,DOLAT ALGOTECH LIMITED,INE966A01022,169.1
541403,Dollar Industries Limited,INE325C01035,525.55
544045,DOMS Industries Limited,INE321T01012,2608.35
539524,Dr. Lal Pathlabs Limited,INE600L01024,3305.4
500124,DR.REDDYS LABORATORIES LTD.,INE089A01023,6953.2
543591,DREAMFOLKS SERVICES LIMITED,INE0JS101016,454.75
523618,DREDGING CORPORATION OF INDIA,INE506A01018,885.65
532610,DWARIKESH SUGAR INDUSTRIES LTD,INE366A01041,73.24
505242,DYNAMATIC TECHNOLOGIES LTD.,INE221B01012,7497.3
500125,E.I.D.-PARRY (INDIA) LTD.,INE126A01031,815.55
543272,Easy Trip Planners Limited,INE07O001026,40.85
532927,ECLERX SERVICES LTD.,INE738I01010,2720.1
532922,EDELWEISS FINANCIAL SERVICES L,INE532F01054,105.35
505200,EICHER MOTORS LTD.,INE066A01021,4898.7
523127,EIH ASSOCIATED HOTELS LTD.,INE276C01014,406.3
500840,EIH LTD.,INE230A01023,379.25
543284,EKI Energy Services Limited,INE0CPR01018,339.55
505700,ELECON ENGINEERING CO.LTD.,INE205B01031,610.35
543626,Electronics Mart India Limited,INE02YR01019,222
500128,ELECTROSTEEL CASTINGS LTD.,INE086A01029,217.75
522074,ELGI EQUIPMENTS LTD.,INE285A01027,693.6
543725,Elin Electronics Limited,INE050401020,239.8
504000,ELPRO INTERNATIONAL LTD.,INE579B01039,111.65
531162,EMAMI LTD.,INE548C01032,808.7
533208,EMAMI PAPER MILLS LTD.,INE830C01026,129.55
543983,EMS LIMITED,INE0OV601013,829.95
543533,eMudhra Limited,INE01QM01018,808.7
540153,Endurance Technologies Limited,INE913H01037,2575.75
532178,ENGINEERS INDIA LTD.,INE510A01028,215.25
532700,ENTERTAINMENT NETWORK (INDIA),INE265F01028,217.15
543332,Epigral Limited,INE071N01016,1942.55
500135,EPL LIMITED,INE255A01020,249.7
532832,EQUINOX INDIA DEVELOPMENTS LIM,INE069I01010,139.5
543243,Equitas Small Finance Bank Lim,INE063P01018,82.88
540596,Eris Lifesciences Limited,INE406M01024,1260.4
500133,ESAB INDIA LTD.,INE284A01012,6147.45
544020,ESAF Small Finance Bank Ltd,INE818W01011,51.52
500495,Escorts Kubota Limited,INE042A01014,3876.6
500136,ESTER INDUSTRIES LTD.,INE778B01029,155.9
543532,ETHOS LIMITED,INE04TZ01018,3019
543482,Eureka Forbes Limited,INE0KCE01017,524.05
531508,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,481.3
508906,EVEREST INDUSTRIES LTD.,INE295A01018,1126.9
532684,EVEREST KANTO CYLINDER LTD.,INE184H01027,187.2
500650,EXCEL INDUSTRIES LTD.,INE369A01029,1505.25
500086,EXIDE INDUSTRIES LTD.,INE302A01020,499.6
533121,EXPLEO SOLUTIONS LIMITED,INE201K01015,1327.05
543252,Fairchem Organics Limited,INE0DNW01011,1399.85
530079,FAZE THREE LTD.,INE963C01033,512.9
531599,FDC LTD.,INE258B01022,535.8
544027,Fedbank Financial Services Lim,INE007N01010,121.65
500469,FEDERAL BANK LTD.,INE171A01029,199.55
505744,FEDERAL-MOGUL GOETZE (INDIA) L,INE529A01010,462.7
532768,FIEM INDUSTRIES LTD.,INE737H01014,1563.25
526227,FILATEX INDIA LTD.,INE816B01035,65.85
541557,Fine Organic Industries Limite,INE686Y01026,5508.3
533333,FINEOTEX CHEMICAL LTD.,INE045J01026,371.45
543386,Fino Payments Bank Limited,INE02NC01014,412.5
500144,FINOLEX CABLES LTD.,INE235A01022,1476.4
500940,FINOLEX INDUSTRIES LTD.,INE183A01024,288
532809,FIRSTSOURCE SOLUTIONS LTD.,INE684F01012,323.15
543663,Five-Star Business Finance Ltd,INE128S01021,740.35
544030,Flair Writing Industries Limit,INE00Y201027,309
507552,FOODS & INNS LTD.,INE976E01023,140.05
500033,FORCE MOTORS LTD.,INE451A01017,8904.05
532843,FORTIS HEALTHCARE LTD.,INE061F01013,551.3
500150,FOSECO INDIA LTD.,INE519A01011,4866.3
543384,FSN E-Commerce Ventures Limite,INE388Y01029,226.9
543652,Fusion Micro Finance Limited,INE139R01012,287.65
540124,G N A Axles Limited,INE934S01014,432.4
543317,G R Infraprojects Limited,INE201P01022,1567.35
507488,G.M.BREWERIES LTD.,INE075D01018,840.05
505714,GABRIEL INDIA LTD.,INE524A01029,538.3
532155,GAIL (INDIA) LTD.,INE129A01019,229.35
540935,Galaxy Surfactants Limited,INE600K01018,2912.1
532726,GALLANTT ISPAT LIMITED,INE297H01019,368.75
544029,Gandhar Oil Refinery (India) L,INE717W01049,215.9
513108,GANDHI SPECIAL TUBES LTD.,INE524B01027,786.4
500153,GANESH BENZOPLAST LTD.,INE388A01029,163.95
526367,GANESH HOUSING CORPORATION LTD,INE460C01014,870.5
514167,GANESHA ECOSPHERE LTD.,INE845D01014,1974.45
542011,Garden Reach Shipbuilders & En,INE382Z01011,1764.75
500655,GARWARE HI-TECH FILMS LIMITED,INE291A01017,3356.35
509557,GARWARE TECHNICAL FIBRES LIMIT,INE276A01018,3668.8
543489,Gateway Distriparks Limited,INE079J01017,100.5
532309,GE Power India Ltd,INE878A01011,451.6
522275,GE T&D India Limited,INE200A01026,1719.2
540755,General Insurance Corporation,INE481Y01014,407.3
506109,GENESYS INTERNATIONAL CORPORAT,INE727B01026,717.85
542851,Gensol Engineering Limited,INE06H201014,927.9
530343,GENUS POWER INFRASTRUCTURES LT,INE955D01029,437.65
532285,Geojit Financial Services Limi,INE007B01023,112.65
500173,GFL LIMITED,INE538A01037,78.82
500171,GHCL LTD.,INE539A01019,694.75
543918,GHCL Textiles Limited,INE0PA801013,114.15
511676,GIC HOUSING FINANCE LTD.,INE289B01019,242.6
507815,GILLETTE INDIA LTD.,INE322A01010,8458.35
543245,Gland Pharma Limited,INE068V01023,1869.4
500660,GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016,2944.2
543322,Glenmark Life Sciences Limited,INE03Q201024,1046.95
